slug,region_name,year,month,period,split,dengue_cases,dengue_deaths,incidence_per100k,mean_temp_C,rainfall_mm,humidity_pct,hot_days,population,pop_density_km2,urban_pct,poverty_fam_pct,oni,oni_lag3,rainfall_lag1,rainfall_anomaly_mm,humidity_lag1,temp_lag3,cases_lag1,cases_lag12,ovitrap_pct,ovitrap_lag1,is_demo_fixture
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,11,2016-11,train,263,4,6.73,26.03,230.8,82,0,3905967,106.57,27.86,53.92,-0.6,-0.4,566.6,15.2,88.4,26.27,293,300,36.3,26.4,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2016,12,2016-12,train,141,2,3.61,26.37,247.7,83,0,3905967,106.57,27.86,53.92,-0.6,-0.5,230.8,10.1,82,25.68,263,191,22.8,36.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,1,2017-01,train,124,1,3.08,25.04,127.8,81.5,0,4030547,109.97,27.78,54.06,-0.4,-0.6,247.7,-47.8,83,26.41,141,82,18.5,22.8,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,2,2017-02,train,145,0,3.6,25.96,81,77.1,0,4030547,109.97,27.78,54.06,-0.4,-0.6,127.8,-30.5,81.5,26.03,124,152,14,18.5,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,3,2017-03,train,77,1,1.91,26.21,112.5,76.1,0,4030547,109.97,27.78,54.06,-0.2,-0.6,81,-50.8,77.1,26.37,145,68,18.8,14,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,4,2017-04,train,40,1,0.99,26.87,108.4,79,0,4030547,109.97,27.78,54.06,0,-0.4,112.5,-62.6,76.1,25.04,77,89,21.9,18.8,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,5,2017-05,train,127,0,3.15,27.04,374.9,82.8,0,4030547,109.97,27.78,54.06,0.1,-0.4,108.4,65.4,79,25.96,40,75,18.1,21.9,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,6,2017-06,train,247,1,6.13,26.18,556.2,87.2,0,4030547,109.97,27.78,54.06,0.1,-0.2,374.9,214.2,82.8,26.21,127,217,23.4,18.1,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,7,2017-07,train,343,2,8.51,26.38,334.3,83.1,0,4030547,109.97,27.78,54.06,0,0,556.2,8.1,87.2,26.87,247,293,32.8,23.4,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,8,2017-08,train,419,1,10.4,26.01,328.4,84.8,0,4030547,109.97,27.78,54.06,-0.2,0.1,334.3,110.3,83.1,27.04,343,251,31.3,32.8,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,9,2017-09,train,773,4,19.18,26.5,226.2,82.5,0,4030547,109.97,27.78,54.06,-0.5,0.1,328.4,-49.4,84.8,26.18,419,439,32,31.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,10,2017-10,train,382,1,9.48,26.14,253.3,81.4,0,4030547,109.97,27.78,54.06,-0.7,0,226.2,-104.1,82.5,26.38,773,293,24,32,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,11,2017-11,train,121,1,3,26.23,245.4,84.9,0,4030547,109.97,27.78,54.06,-0.8,-0.2,253.3,29.8,81.4,26.01,382,263,28.2,24,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2017,12,2017-12,train,152,1,3.77,26.02,393.9,87.7,1,4030547,109.97,27.78,54.06,-0.9,-0.5,245.4,156.3,84.9,26.5,121,141,22.5,28.2,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,1,2018-01,train,309,2,7.44,26,127.4,80,0,4155128,113.37,27.71,54.2,-0.9,-0.7,393.9,-48.1,87.7,26.14,152,124,30.2,22.5,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,2,2018-02,train,442,3,10.64,25.53,94.6,76.2,0,4155128,113.37,27.71,54.2,-0.8,-0.8,127.4,-16.9,80,26.23,309,145,17.4,30.2,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,3,2018-03,train,242,2,5.82,26.11,178.5,79.5,0,4155128,113.37,27.71,54.2,-0.6,-0.9,94.6,15.1,76.2,26.02,442,77,24.3,17.4,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,4,2018-04,train,175,0,4.21,26.45,112.4,77.8,0,4155128,113.37,27.71,54.2,-0.4,-0.9,178.5,-58.6,79.5,26,242,40,18.8,24.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,5,2018-05,train,165,1,3.97,26.86,277.6,80,0,4155128,113.37,27.71,54.2,-0.2,-0.8,112.4,-31.9,77.8,25.53,175,127,22.4,18.8,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,6,2018-06,train,398,3,9.58,26.12,518.2,88.6,0,4155128,113.37,27.71,54.2,0,-0.6,277.6,176.2,80,26.11,165,247,29,22.4,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,7,2018-07,train,938,6,22.57,26.1,341.6,84.3,1,4155128,113.37,27.71,54.2,0.2,-0.4,518.2,15.4,88.6,26.45,398,343,33.7,29,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,8,2018-08,train,1479,8,35.59,26.05,246.7,85.4,0,4155128,113.37,27.71,54.2,0.3,-0.2,341.6,28.6,84.3,26.86,938,419,29.3,33.7,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,9,2018-09,train,1862,10,44.81,25.7,479,86.8,0,4155128,113.37,27.71,54.2,0.5,0,246.7,203.4,85.4,26.12,1479,773,23.4,29.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,10,2018-10,train,1031,8,24.81,26.64,422.4,85.8,1,4155128,113.37,27.71,54.2,0.7,0.2,479,65,86.8,26.1,1862,382,30.3,23.4,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,11,2018-11,train,892,6,21.47,27.03,283.8,85.1,0,4155128,113.37,27.71,54.2,0.8,0.3,422.4,68.2,85.8,26.05,1031,121,28.7,30.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2018,12,2018-12,train,472,6,11.36,26.98,330.9,86.2,0,4155128,113.37,27.71,54.2,0.8,0.5,283.8,93.3,85.1,25.7,892,152,22.9,28.7,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,1,2019-01,test,451,2,10.54,25.91,118.2,82.4,0,4279708,116.77,27.63,54.2,0.7,0.7,330.9,-57.3,86.2,26.64,472,309,26.6,22.9,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,2,2019-02,test,315,0,7.36,26.89,92.5,81.3,0,4279708,116.77,27.63,54.2,0.7,0.8,118.2,-19,82.4,27.03,451,442,20.7,26.6,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,3,2019-03,test,383,2,8.95,26.37,174.9,78.2,0,4279708,116.77,27.63,54.2,0.7,0.8,92.5,11.6,81.3,26.98,315,242,12.7,20.7,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,4,2019-04,test,65,1,1.52,27.28,369.4,81.8,0,4279708,116.77,27.63,54.2,0.7,0.7,174.9,198.4,78.2,25.91,383,175,26.5,12.7,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,5,2019-05,test,380,1,8.88,27.22,406.2,83.6,0,4279708,116.77,27.63,54.2,0.6,0.7,369.4,96.6,81.8,26.89,65,165,21.6,26.5,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,6,2019-06,test,855,3,19.98,27.02,278,82,0,4279708,116.77,27.63,54.2,0.5,0.7,406.2,-63.9,83.6,26.37,380,398,37.8,21.6,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,7,2019-07,test,1921,14,44.89,26.22,370.7,86.1,0,4279708,116.77,27.63,54.2,0.3,0.7,278,44.5,82,27.28,855,938,26.2,37.8,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,8,2019-08,test,1374,7,32.1,26.21,282.1,86.2,0,4279708,116.77,27.63,54.2,0.2,0.6,370.7,64,86.1,27.22,1921,1479,33,26.2,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,9,2019-09,test,1150,4,26.87,26.43,304.7,86,0,4279708,116.77,27.63,54.2,0.2,0.5,282.1,29,86.2,27.02,1374,1862,31.3,33,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,10,2019-10,test,1216,8,28.41,25.96,357.8,84.7,0,4279708,116.77,27.63,54.2,0.3,0.3,304.7,0.4,86,26.22,1150,1031,19.7,31.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,11,2019-11,test,626,3,14.63,26.26,148.3,83.3,0,4279708,116.77,27.63,54.2,0.5,0.2,357.8,-67.3,84.7,26.21,1216,892,28.6,19.7,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,12,2019-12,test,556,1,12.99,25.54,168.2,80.9,0,4279708,116.77,27.63,54.2,0.5,0.2,148.3,-69.4,83.3,26.43,626,472,21.7,28.6,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,1,2020-01,diagnostic_excluded,199,0,4.52,26.79,371.6,86.4,0,4404288,120.17,27.56,54.2,0.5,0.3,168.2,196,80.9,25.96,556,451,21.5,21.7,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,2,2020-02,diagnostic_excluded,146,1,3.31,25.83,200.3,81,0,4404288,120.17,27.56,54.2,0.5,0.5,371.6,88.8,86.4,26.26,199,315,30.3,21.5,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,3,2020-03,diagnostic_excluded,143,1,3.25,26.76,188.3,78.3,0,4404288,120.17,27.56,54.2,0.4,0.5,200.3,25,81,25.54,146,383,20.3,30.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,4,2020-04,diagnostic_excluded,91,1,2.07,27.13,255.2,81.7,0,4404288,120.17,27.56,54.2,0.2,0.5,188.3,84.2,78.3,26.79,143,65,24.7,20.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,5,2020-05,diagnostic_excluded,117,2,2.66,27.9,287.3,83.1,0,4404288,120.17,27.56,54.2,0,0.5,255.2,-22.3,81.7,25.83,91,380,29.7,24.7,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,6,2020-06,diagnostic_excluded,221,2,5.02,26.68,381.6,83.2,0,4404288,120.17,27.56,54.2,-0.3,0.4,287.3,39.6,83.1,26.76,117,855,26.4,29.7,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,7,2020-07,diagnostic_excluded,411,1,9.33,26.47,204.3,79.4,0,4404288,120.17,27.56,54.2,-0.4,0.2,381.6,-121.9,83.2,27.13,221,1921,30.3,26.4,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,8,2020-08,diagnostic_excluded,675,2,15.33,25.9,337.4,86.5,0,4404288,120.17,27.56,54.2,-0.6,0,204.3,119.3,79.4,27.9,411,1374,19.4,30.3,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,9,2020-09,diagnostic_excluded,313,0,7.11,25.55,271.4,84.7,0,4404288,120.17,27.56,54.2,-0.9,-0.3,337.4,-4.2,86.5,26.68,675,1150,28,19.4,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,10,2020-10,diagnostic_excluded,522,5,11.85,26.15,361,84.1,0,4404288,120.17,27.56,54.2,-1.2,-0.4,271.4,3.6,84.7,26.47,313,1216,19.2,28,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,11,2020-11,diagnostic_excluded,329,1,7.47,26.14,308.7,85.2,0,4404288,120.17,27.56,54.2,-1.3,-0.6,361,93.1,84.1,25.9,522,626,28.7,19.2,1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,12,2020-12,diagnostic_excluded,103,1,2.34,25.41,318.6,85.6,0,4404288,120.17,27.56,54.2,-1.2,-0.9,308.7,81,85.2,25.55,329,556,22.1,28.7,1
CAR,Cordillera Administrative Region,2016,1,2016-01,train,64,0,3.68,21.71,161.1,85.3,0,1737137,87.65,31.04,14.26,2,2.1,75.6,41.6,81,24.28,157,108,19.9,24.7,1
CAR,Cordillera Administrative Region,2016,2,2016-02,train,52,0,2.99,21.64,197.8,84.6,0,1737137,87.65,31.04,14.26,1.9,2.2,161.1,81.8,85.3,23.87,64,99,17.1,19.9,1
CAR,Cordillera Administrative Region,2016,3,2016-03,train,29,0,1.67,23.18,129.2,81.2,1,1737137,87.65,31.04,14.26,1.6,2.3,197.8,31.7,84.6,22.04,52,68,24.7,17.1,1
CAR,Cordillera Administrative Region,2016,4,2016-04,train,22,0,1.27,24,203.7,83.2,0,1737137,87.65,31.04,14.26,1.1,2,129.2,69.3,81.2,21.71,29,80,10.9,24.7,1
CAR,Cordillera Administrative Region,2016,5,2016-05,train,73,0,4.2,24.74,479.5,85.2,0,1737137,87.65,31.04,14.26,0.6,1.9,203.7,140.8,83.2,21.64,22,75,21.6,10.9,1
CAR,Cordillera Administrative Region,2016,6,2016-06,train,119,1,6.85,25.63,475.9,86.9,0,1737137,87.65,31.04,14.26,0.1,1.6,479.5,148.5,85.2,23.18,73,190,37.7,21.6,1
CAR,Cordillera Administrative Region,2016,7,2016-07,train,101,0,5.81,24.33,793.9,92.4,0,1737137,87.65,31.04,14.26,-0.2,1.1,475.9,349,86.9,24,119,510,31.5,37.7,1
CAR,Cordillera Administrative Region,2016,8,2016-08,train,161,3,9.27,24.48,440.5,86.1,0,1737137,87.65,31.04,14.26,-0.4,0.6,793.9,-47.7,92.4,24.74,101,512,42,31.5,1
CAR,Cordillera Administrative Region,2016,9,2016-09,train,448,2,25.79,23.63,315.9,84.7,0,1737137,87.65,31.04,14.26,-0.5,0.1,440.5,-8,86.1,25.63,161,643,30.5,42,1
CAR,Cordillera Administrative Region,2016,10,2016-10,train,474,3,27.29,23.34,399.4,87.1,0,1737137,87.65,31.04,14.26,-0.6,-0.2,315.9,90.1,84.7,24.33,448,972,25.1,30.5,1
CAR,Cordillera Administrative Region,2016,11,2016-11,train,168,0,9.67,22.88,144.6,84,0,1737137,87.65,31.04,14.26,-0.6,-0.4,399.4,-96.4,87.1,24.48,474,322,25.9,25.1,1
CAR,Cordillera Administrative Region,2016,12,2016-12,train,60,0,3.45,21.04,244.3,85.6,0,1737137,87.65,31.04,14.26,-0.6,-0.5,144.6,-31.7,84,23.63,168,157,24.4,25.9,1
CAR,Cordillera Administrative Region,2017,1,2017-01,train,89,0,5.08,20.87,328.4,89.5,0,1752268,88.42,31.6,11.43,-0.4,-0.6,244.3,208.9,85.6,23.34,60,64,30.7,24.4,1
CAR,Cordillera Administrative Region,2017,2,2017-02,train,57,0,3.25,20.64,82.7,83.3,1,1752268,88.42,31.6,11.43,-0.4,-0.6,328.4,-33.2,89.5,22.88,89,52,27.7,30.7,1
CAR,Cordillera Administrative Region,2017,3,2017-03,train,62,0,3.54,22.95,150.7,83.6,0,1752268,88.42,31.6,11.43,-0.2,-0.6,82.7,53.2,83.3,21.04,57,29,19.5,27.7,1
CAR,Cordillera Administrative Region,2017,4,2017-04,train,36,0,2.05,24.18,101.6,81.1,0,1752268,88.42,31.6,11.43,0,-0.4,150.7,-32.8,83.6,20.87,62,22,20.9,19.5,1
CAR,Cordillera Administrative Region,2017,5,2017-05,train,40,0,2.28,24.72,435.8,86.3,0,1752268,88.42,31.6,11.43,0.1,-0.4,101.6,97.1,81.1,20.64,36,73,14.4,20.9,1
CAR,Cordillera Administrative Region,2017,6,2017-06,train,89,0,5.08,24.79,315.3,83.5,0,1752268,88.42,31.6,11.43,0.1,-0.2,435.8,-12,86.3,22.95,40,119,30.5,14.4,1
CAR,Cordillera Administrative Region,2017,7,2017-07,train,246,0,14.04,24.8,393.1,83.2,0,1752268,88.42,31.6,11.43,0,0,315.3,-51.8,83.5,24.18,89,101,17.5,30.5,1
CAR,Cordillera Administrative Region,2017,8,2017-08,train,385,3,21.97,24.31,362.4,84.3,0,1752268,88.42,31.6,11.43,-0.2,0.1,393.1,-125.8,83.2,24.72,246,161,29.1,17.5,1
CAR,Cordillera Administrative Region,2017,9,2017-09,train,496,1,28.31,23.64,207.9,82.8,0,1752268,88.42,31.6,11.43,-0.5,0.1,362.4,-116,84.3,24.79,385,448,23.5,29.1,1
CAR,Cordillera Administrative Region,2017,10,2017-10,train,261,1,14.89,22.97,554.8,89.9,0,1752268,88.42,31.6,11.43,-0.7,0,207.9,245.5,82.8,24.8,496,474,19.2,23.5,1
CAR,Cordillera Administrative Region,2017,11,2017-11,train,278,0,15.87,22.62,616.6,96.8,0,1752268,88.42,31.6,11.43,-0.8,-0.2,554.8,375.5,89.9,24.31,261,168,31,19.2,1
CAR,Cordillera Administrative Region,2017,12,2017-12,train,134,0,7.65,21.01,237,86.7,0,1752268,88.42,31.6,11.43,-0.9,-0.5,616.6,-39,96.8,23.64,278,60,42,31,1
CAR,Cordillera Administrative Region,2018,1,2018-01,train,48,1,2.72,20.7,112.5,85.7,0,1767398,89.18,32.17,8.6,-0.9,-0.7,237,-6.9,86.7,22.97,134,89,31.8,42,1
CAR,Cordillera Administrative Region,2018,2,2018-02,train,87,0,4.92,20.83,118.5,84.3,0,1767398,89.18,32.17,8.6,-0.8,-0.8,112.5,2.5,85.7,22.62,48,57,14.6,31.8,1
CAR,Cordillera Administrative Region,2018,3,2018-03,train,51,0,2.89,23.15,85.4,79.4,0,1767398,89.18,32.17,8.6,-0.6,-0.9,118.5,-12.1,84.3,21.01,87,62,25.4,14.6,1
CAR,Cordillera Administrative Region,2018,4,2018-04,train,62,0,3.51,23.48,171.3,83.3,0,1767398,89.18,32.17,8.6,-0.4,-0.9,85.4,36.9,79.4,20.7,51,36,20.3,25.4,1
CAR,Cordillera Administrative Region,2018,5,2018-05,train,64,1,3.62,24.74,737.8,92.3,0,1767398,89.18,32.17,8.6,-0.2,-0.8,171.3,399.1,83.3,20.83,62,40,15.9,20.3,1
CAR,Cordillera Administrative Region,2018,6,2018-06,train,175,1,9.9,25.45,243.6,81.6,0,1767398,89.18,32.17,8.6,0,-0.6,737.8,-83.8,92.3,23.15,64,89,42,15.9,1
CAR,Cordillera Administrative Region,2018,7,2018-07,train,296,1,16.75,25.08,707.4,91.2,0,1767398,89.18,32.17,8.6,0.2,-0.4,243.6,262.5,81.6,23.48,175,246,20.1,42,1
CAR,Cordillera Administrative Region,2018,8,2018-08,train,236,1,13.35,24.11,212.3,82,0,1767398,89.18,32.17,8.6,0.3,-0.2,707.4,-275.9,91.2,24.74,296,385,42,20.1,1
CAR,Cordillera Administrative Region,2018,9,2018-09,train,319,2,18.05,24.11,183.1,83.4,0,1767398,89.18,32.17,8.6,0.5,0,212.3,-140.8,82,25.45,236,496,20.4,42,1
CAR,Cordillera Administrative Region,2018,10,2018-10,train,245,1,13.86,22.97,244.7,85.1,0,1767398,89.18,32.17,8.6,0.7,0.2,183.1,-64.6,83.4,25.08,319,261,17.4,20.4,1
CAR,Cordillera Administrative Region,2018,11,2018-11,train,199,1,11.26,22.34,324.6,87.1,0,1767398,89.18,32.17,8.6,0.8,0.3,244.7,83.6,85.1,24.11,245,278,23.5,17.4,1
CAR,Cordillera Administrative Region,2018,12,2018-12,train,110,0,6.22,21.9,428,89.3,0,1767398,89.18,32.17,8.6,0.8,0.5,324.6,151.9,87.1,24.11,199,134,25.3,23.5,1
CAR,Cordillera Administrative Region,2019,1,2019-01,test,214,1,12.01,20.8,156.3,86.3,0,1782529,89.94,32.74,8.6,0.7,0.7,428,36.8,89.3,22.97,110,48,31.6,25.3,1
CAR,Cordillera Administrative Region,2019,2,2019-02,test,112,0,6.28,20.93,103.5,84.7,0,1782529,89.94,32.74,8.6,0.7,0.8,156.3,-12.4,86.3,22.34,214,87,21.8,31.6,1
CAR,Cordillera Administrative Region,2019,3,2019-03,test,93,0,5.22,22.73,114.1,80.8,0,1782529,89.94,32.74,8.6,0.7,0.8,103.5,16.6,84.7,21.9,112,51,19.8,21.8,1
CAR,Cordillera Administrative Region,2019,4,2019-04,test,100,0,5.61,24.59,179.6,83.2,0,1782529,89.94,32.74,8.6,0.7,0.7,114.1,45.2,80.8,20.8,93,62,17.9,19.8,1
CAR,Cordillera Administrative Region,2019,5,2019-05,test,88,1,4.94,25.34,478.3,85.7,0,1782529,89.94,32.74,8.6,0.6,0.7,179.6,139.6,83.2,20.93,100,64,27,17.9,1
CAR,Cordillera Administrative Region,2019,6,2019-06,test,186,1,10.43,25.46,331.9,81.8,0,1782529,89.94,32.74,8.6,0.5,0.7,478.3,4.5,85.7,22.73,88,175,26.3,27,1
CAR,Cordillera Administrative Region,2019,7,2019-07,test,656,3,36.8,24.91,832.3,93.5,0,1782529,89.94,32.74,8.6,0.3,0.7,331.9,387.4,81.8,24.59,186,296,31.7,26.3,1
CAR,Cordillera Administrative Region,2019,8,2019-08,test,566,5,31.75,24.39,435.1,84.1,0,1782529,89.94,32.74,8.6,0.2,0.6,832.3,-53.1,93.5,25.34,656,236,42,31.7,1
CAR,Cordillera Administrative Region,2019,9,2019-09,test,1169,11,65.58,24.07,301.2,86.9,0,1782529,89.94,32.74,8.6,0.2,0.5,435.1,-22.7,84.1,25.46,566,319,31.8,42,1
CAR,Cordillera Administrative Region,2019,10,2019-10,test,528,0,29.62,24.15,254.1,84.7,0,1782529,89.94,32.74,8.6,0.3,0.3,301.2,-55.2,86.9,24.91,1169,245,24,31.8,1
CAR,Cordillera Administrative Region,2019,11,2019-11,test,385,0,21.6,22.31,321.7,87.5,0,1782529,89.94,32.74,8.6,0.5,0.2,254.1,80.7,84.7,24.39,528,199,22.3,24,1
CAR,Cordillera Administrative Region,2019,12,2019-12,test,210,2,11.78,21.95,218.1,84.9,0,1782529,89.94,32.74,8.6,0.5,0.2,321.7,-57.9,87.5,24.07,385,110,27.3,22.3,1
CAR,Cordillera Administrative Region,2020,1,2020-01,diagnostic_excluded,207,1,11.51,21.27,54.9,82.7,0,1797660,90.71,33.3,8.6,0.5,0.3,218.1,-64.5,84.9,24.15,210,214,18.8,27.3,1
CAR,Cordillera Administrative Region,2020,2,2020-02,diagnostic_excluded,80,1,4.45,21.32,114.3,81.1,0,1797660,90.71,33.3,8.6,0.5,0.5,54.9,-1.7,82.7,22.31,207,112,20.4,18.8,1
CAR,Cordillera Administrative Region,2020,3,2020-03,diagnostic_excluded,34,0,1.89,23.88,103.6,78.9,0,1797660,90.71,33.3,8.6,0.4,0.5,114.3,6.1,81.1,21.95,80,93,18.4,20.4,1
CAR,Cordillera Administrative Region,2020,4,2020-04,diagnostic_excluded,28,0,1.56,24.07,103,82.4,0,1797660,90.71,33.3,8.6,0.2,0.5,103.6,-31.4,78.9,21.27,34,100,16.2,18.4,1
CAR,Cordillera Administrative Region,2020,5,2020-05,diagnostic_excluded,67,1,3.73,24.89,263.9,81.3,0,1797660,90.71,33.3,8.6,0,0.5,103,-74.8,82.4,21.32,28,88,13.4,16.2,1
CAR,Cordillera Administrative Region,2020,6,2020-06,diagnostic_excluded,147,2,8.18,24.96,207.8,80.2,0,1797660,90.71,33.3,8.6,-0.3,0.4,263.9,-119.5,81.3,23.88,67,186,21.1,13.4,1
CAR,Cordillera Administrative Region,2020,7,2020-07,diagnostic_excluded,287,2,15.97,23.84,683.4,89.4,0,1797660,90.71,33.3,8.6,-0.4,0.2,207.8,238.5,80.2,24.07,147,656,22.5,21.1,1
CAR,Cordillera Administrative Region,2020,8,2020-08,diagnostic_excluded,645,6,35.88,24,713.6,92.9,0,1797660,90.71,33.3,8.6,-0.6,0,683.4,225.4,89.4,24.89,287,566,40.5,22.5,1
CAR,Cordillera Administrative Region,2020,9,2020-09,diagnostic_excluded,664,3,36.94,24.33,253,83.3,0,1797660,90.71,33.3,8.6,-0.9,-0.3,713.6,-71,92.9,24.96,645,1169,42,40.5,1
CAR,Cordillera Administrative Region,2020,10,2020-10,diagnostic_excluded,529,3,29.43,23.21,293.5,86.1,0,1797660,90.71,33.3,8.6,-1.2,-0.4,253,-15.8,83.3,23.84,664,528,18.7,42,1
CAR,Cordillera Administrative Region,2020,11,2020-11,diagnostic_excluded,224,1,12.46,22.7,383.4,90.3,1,1797660,90.71,33.3,8.6,-1.3,-0.6,293.5,142.4,86.1,24,529,385,24,18.7,1
CAR,Cordillera Administrative Region,2020,12,2020-12,diagnostic_excluded,182,2,10.12,21.8,539.3,92.1,0,1797660,90.71,33.3,8.6,-1.2,-0.9,383.4,263.3,90.3,24.33,224,210,25.9,24,1
NCR,National Capital Region,2016,1,2016-01,train,771,2,5.93,26.89,118.8,79.8,1,12998695,20981.2,100,2.33,2,2.1,357.4,51.3,83.9,28.92,2220,1069,31.3,30.1,1
